Cycle,Capacity,SoH
1,1.856487421,1
2,1.84632725,0.994527207
3,1.835349194,0.98861386
4,1.835262528,0.988567176
5,1.834645508,0.988234818
6,1.83566166,0.98878217
7,1.835146143,0.988504486
8,1.825756791,0.983446896
9,1.824773853,0.982917435
10,1.824613268,0.982830935
11,1.824619553,0.98283432
12,1.814201936,0.977222854
13,1.813752158,0.97698058
14,1.813440491,0.976812701
15,1.802598004,0.970972377
16,1.8021069,0.970707843
17,1.802579501,0.97096241
18,1.803068314,0.97122571
19,1.802777625,0.97106913
20,1.847025995,0.994903587
21,1.847417311,0.995114371
22,1.836177421,0.989059985
23,1.825780748,0.9834598
24,1.825113644,0.983100463
25,1.825581504,0.983352477
26,1.814031128,0.977130848
27,1.814769194,0.977528409
28,1.813969389,0.977097592
29,1.802765665,0.971062688
30,1.80407704,0.971769062
31,1.851802552,0.997476488
32,1.830703846,0.986111635
33,1.819904109,0.980294339
34,1.809307964,0.974586708
35,1.804609905,0.972056091
36,1.799377065,0.969237413
37,1.788443234,0.963347887
38,1.782923048,0.96037443
39,1.773033716,0.955047525
40,1.773037755,0.9550497
41,1.767872111,0.952267218
42,1.76231507,0.949273909
43,1.767617292,0.952129959
44,1.76266836,0.949464209
45,1.751730487,0.943572505
46,1.741849605,0.938250152
47,1.736091351,0.935148459
48,1.793624015,0.966138523
49,1.783189022,0.960517697
50,1.767364208,0.951993635
51,1.757017785,0.946420517
52,1.746870618,0.940954729
53,1.741717251,0.938178859
54,1.736422506,0.935326836
55,1.726321724,0.929886033
56,1.715806539,0.924222012
57,1.710533351,0.921381601
58,1.7060145,0.918947514
59,1.700311027,0.915875329
60,1.69457986,0.912788226
61,1.684902909,0.907575721
62,1.674474159,0.901958257
63,1.674569248,0.902009477
64,1.663716376,0.89616356
65,1.659013869,0.893630547
66,1.653854057,0.890851206
67,1.642653782,0.884818159
68,1.637857843,0.882234819
69,1.632735041,0.879475413
70,1.627752892,0.87679177
71,1.622125486,0.873760558
72,1.61132566,0.867943215
73,1.60656314,0.865377875
74,1.601514223,0.862658268
75,1.590369231,0.856655
76,1.585788997,0.854187849
77,1.584943071,0.85373219
78,1.595526389,0.859432912
79,1.574730175,0.848230996
80,1.564901995,0.842937031
81,1.559765947,0.840170491
82,1.559481567,0.840017309
83,1.554689354,0.837435975
84,1.548874108,0.834303584
85,1.538236599,0.828573672
86,1.527914258,0.823013526
87,1.528525263,0.823342645
88,1.522647325,0.820176484
89,1.517485994,0.817396324
90,1.605818899,0.864976989
91,1.563849145,0.842369912
92,1.548091525,0.833882044
93,1.532375563,0.825416615
94,1.526952827,0.822495649
95,1.516957302,0.817111543
96,1.511897596,0.814386125
97,1.506563896,0.811513118
98,1.501545353,0.808809872
99,1.490844405,0.803045789
100,1.485868385,0.800365447
101,1.480413678,0.79742726
102,1.475209587,0.794624068
103,1.485903599,0.800384415
104,1.49609183,0.805872323
105,1.480800595,0.797635674
106,1.469754327,0.791685583
107,1.453901227,0.783146285
108,1.454146207,0.783278244
109,1.455023752,0.783750935
110,1.449042164,0.780528943
111,1.438670937,0.774942464
112,1.433445432,0.772127738
113,1.43339589,0.772101052
114,1.428064873,0.769229491
115,1.422920318,0.766458368
116,1.417429033,0.763500478
117,1.412409229,0.760796552
118,1.412578793,0.760887888
119,1.407598373,0.758205177
120,1.433392049,0.772098982
121,1.438255018,0.774718429
122,1.417354717,0.763460448
123,1.406981664,0.757872985
124,1.401203778,0.754760718
125,1.396700823,0.752335194
126,1.391284789,0.749417838
127,1.386228768,0.746694404
128,1.380436676,0.743574484
129,1.375236415,0.740773355
130,1.370512802,0.738228973
131,1.370508557,0.738226686
132,1.364735511,0.735117026
133,1.375392017,0.74085717
134,1.386111515,0.746631245
135,1.369850004,0.737871956
136,1.364782795,0.735142495
137,1.354322047,0.729507796
138,1.354641702,0.729679979
139,1.354703921,0.729713493
140,1.349314998,0.726810741
141,1.344189194,0.724049718
142,1.338991379,0.721249907
143,1.338914523,0.721208508
144,1.334006676,0.718564888
145,1.328644431,0.715676506
146,1.323170899,0.712728179
147,1.318169159,0.710033984
148,1.318466444,0.710194117
149,1.31829304,0.710100712
150,1.323872422,0.713106056
151,1.360121677,0.732631776
152,1.339530687,0.721540406
153,1.329028657,0.71588347
154,1.323674127,0.712999244
155,1.318633897,0.710284315
156,1.313475132,0.707505538
157,1.313202063,0.707358449
158,1.307795995,0.704446462
159,1.303032919,0.701880823
160,1.303357356,0.702055582
161,1.303410044,0.702083962
162,1.297887081,0.699109009
163,1.298073506,0.699209427
164,1.293463614,0.696726301
165,1.288003393,0.693785144
166,1.287452522,0.693488417
167,1.309015364,0.705103277
168,1.325079329,0.713756158
